#{"t_start": 1764081868.5235157, "env_id": "None"}
r,l,t
-26.5,21,10.465899
-25.0,20,10.472899
-25.6,21,10.490706
-24.65,20,10.497705
-25.0,20,10.505863
-24.4,20,10.521055
-25.0,20,10.528184
-25.0,20,10.535179
-27.45,20,10.550595
-25.0,20,10.557595
-24.6,20,10.564598
-26.0,21,10.579967
-25.3,20,10.586966
-25.45,20,10.594845
-24.85,20,10.609338
-24.8,20,10.616672
-25.25,20,10.625046
-27.0,20,10.639585
-25.5,20,10.647575
-21.568,18,10.653749
-28.3,23,10.661749
-27.8,21,10.676967
-27.5,22,10.687472
-25.65,20,10.693472
-27.85,22,10.714989
-27.2,22,10.722168
-25.45,20,10.729883
-27.75,21,10.745022
-26.35,20,10.752148
-25.85,21,10.758156
-26.2,21,10.772157
-27.6,23,10.780021
-25.0,20,10.78702
-27.4,21,10.80108
-24.8,20,10.808079
-26.65,21,10.815675
-27.05,22,10.831768
-25.05,20,10.839797
-24.4,20,10.846931
-26.05,20,10.861922
-25.8,21,10.869673
-25.2,20,10.876723
-26.3,20,10.894723
-24.6,20,10.902775
-25.25,20,10.909894
-25.6,21,10.926367
-25.8,20,10.933241
-27.0,20,10.940364
-25.85,20,10.953776
-25.9,20,10.961818
-25.25,20,10.968729
-27.65,20,10.975725
-25.4,20,10.990392
-26.35,20,10.997303
-26.25,21,11.00441
-25.65,20,11.018178
-25.05,20,11.026163
-26.05,21,11.034651
-26.05,20,11.049111
-25.75,20,11.057134
-26.35,20,11.064845
-24.13,16,11.078051
-25.4,20,11.086054
-26.6,20,11.092923
-25.25,20,11.099915
-26.95,21,11.11549
-26.8,20,11.122659
-26.25,21,11.129597
-25.95,20,11.146467
-26.05,21,11.153636
-25.65,20,11.160588
-26.75,20,11.175793
-25.0,20,11.182794
-24.85,20,11.189793
-26.85,21,11.203706
-25.6,21,11.210714
-25.25,20,11.218745
-25.65,20,11.232363
-28.7,21,11.240366
-24.6,20,11.248062
-26.3,20,11.262576
-25.5,20,11.270348
